date,crop,location,price
2026-04-06,Wheat,Maharashtra,23.24
2026-04-06,Wheat,Punjab,21.97
2026-04-06,Wheat,Gujarat,22.44
2026-04-06,Wheat,Uttar Pradesh,21.28
2026-04-06,Wheat,Madhya Pradesh,21.14
2026-04-06,Rice,Maharashtra,68.43
2026-04-06,Rice,Punjab,66.69
2026-04-06,Rice,Gujarat,66.54
2026-04-06,Rice,Uttar Pradesh,63.62
2026-04-06,Rice,Madhya Pradesh,61.28
2026-04-06,Tomato,Maharashtra,18.62
2026-04-06,Tomato,Punjab,18.37
2026-04-06,Tomato,Gujarat,18.07
2026-04-06,Tomato,Uttar Pradesh,17.34
2026-04-06,Tomato,Madhya Pradesh,17.25
2026-04-06,Potato,Maharashtra,15.79
2026-04-06,Potato,Punjab,15.02
2026-04-06,Potato,Gujarat,15.54
2026-04-06,Potato,Uttar Pradesh,15.01
2026-04-06,Potato,Madhya Pradesh,13.76
2026-04-06,Cotton,Maharashtra,63.31
2026-04-06,Cotton,Punjab,61.4
2026-04-06,Cotton,Gujarat,61.64
2026-04-06,Cotton,Uttar Pradesh,58.46
2026-04-06,Cotton,Madhya Pradesh,57.46
2026-04-06,Soybean,Maharashtra,43.94
2026-04-06,Soybean,Punjab,42.43
2026-04-06,Soybean,Gujarat,42.86
2026-04-06,Soybean,Uttar Pradesh,41.51
2026-04-06,Soybean,Madhya Pradesh,40.0
2026-04-07,Wheat,Maharashtra,23.43
2026-04-07,Wheat,Punjab,22.69
2026-04-07,Wheat,Gujarat,22.72
2026-04-07,Wheat,Uttar Pradesh,22.05
2026-04-07,Wheat,Madhya Pradesh,20.8
2026-04-07,Rice,Maharashtra,68.35
2026-04-07,Rice,Punjab,66.68
2026-04-07,Rice,Gujarat,67.12
2026-04-07,Rice,Uttar Pradesh,64.11
2026-04-07,Rice,Madhya Pradesh,61.87
2026-04-07,Tomato,Maharashtra,19.06
2026-04-07,Tomato,Punjab,17.87
2026-04-07,Tomato,Gujarat,18.23
2026-04-07,Tomato,Uttar Pradesh,17.39
2026-04-07,Tomato,Madhya Pradesh,16.64
2026-04-07,Potato,Maharashtra,15.49
2026-04-07,Potato,Punjab,14.91
2026-04-07,Potato,Gujarat,15.24
2026-04-07,Potato,Uttar Pradesh,14.85
2026-04-07,Potato,Madhya Pradesh,14.12
2026-04-07,Cotton,Maharashtra,62.95
2026-04-07,Cotton,Punjab,60.99
2026-04-07,Cotton,Gujarat,61.65
2026-04-07,Cotton,Uttar Pradesh,59.32
2026-04-07,Cotton,Madhya Pradesh,57.22
2026-04-07,Soybean,Maharashtra,44.2
2026-04-07,Soybean,Punjab,42.5
2026-04-07,Soybean,Gujarat,43.48
2026-04-07,Soybean,Uttar Pradesh,40.81
2026-04-07,Soybean,Madhya Pradesh,39.77
2026-04-08,Wheat,Maharashtra,23.63
2026-04-08,Wheat,Punjab,22.62
2026-04-08,Wheat,Gujarat,22.76
2026-04-08,Wheat,Uttar Pradesh,21.78
2026-04-08,Wheat,Madhya Pradesh,21.28
2026-04-08,Rice,Maharashtra,68.63
2026-04-08,Rice,Punjab,66.13
2026-04-08,Rice,Gujarat,66.59
2026-04-08,Rice,Uttar Pradesh,63.61
2026-04-08,Rice,Madhya Pradesh,61.61
2026-04-08,Tomato,Maharashtra,18.53
